1p36 deletion syndrome,D,1p36
18p deletion syndrome,D,18p
21-hydroxylase deficiency,,6p21.3
"47,XXX
see triple X syndrome",C,X
"47,XXY
see Klinefelter syndrome",C,X
"5-ALA dehydratase-deficient porphyria
see ALA dehydratase deficiency",,
"AAT
see alpha 1-antitrypsin deficiency",,14q32
aceruloplasminemia,,3p26.3
Achondrogenesis type II,,12q13.11
achondroplasia,substitution,4p16.3
"Acrocephaly
see Apert syndrome",,10q26.13
acute intermittent porphyria,,
adenylosuccinate lyase deficiency,,
Adrenoleukodystrophy,,
Alagille syndrome,,
Albinism,,
Alexander disease,,
alkaptonuria,,
"ALS
see amyotrophic lateral sclerosis",,
Alstrm syndrome,,
Alzheimer's disease,,
Amelogenesis imperfecta,,
androgen insensitivity syndrome,,
Anemia,,
Angelman syndrome,,
ataxia telangiectasia,,
"B variant of the Hexosaminidase GM2 gangliosidosis
see Sandhoff disease",,
Beare-Stevenson cutis gyrata syndrome,,10q26
Benjamin syndrome,,
biotinidase deficiency,,
Birth Defects,,
Bloom syndrome,,15q26.1
BirtHoggDub syndrome,,17
"Broad Thumb-Hallux syndrome
see Rubinstein-Taybi syndrome",,
CADASIL syndrome,P,3
CGD Chronic granulomatous disorder,,
Campomelic dysplasia,C,17q24.3-q25.1
Canavan disease,,
Cancer,,
"Caylor cardiofacial syndrome
see 22q11.2 deletion syndrome",D,22q
"CF
see cystic fibrosis[1]","D (most common);
or substitution",CFTR (7q31.2)
CharcotMarieTooth disease,,
CHARGE syndrome,,
"Chondrodystrophy with dysplasia
see otospondylomegaepiphyseal dysplasia",,
Cockayne syndrome,,
CoffinLowry syndrome,,
"collagenopathy, types II and XI",,
Cowden syndrome,,
"CPO deficiency
see hereditary coproporphyria",,
Cri du chat,D,5p
"Crohn's disease,",P,16q12
Crouzon syndrome,,FGFR2 (10q25.3-q26)
"Crouzon syndrome with acanthosis nigricans
see Crouzonodermoskeletal syndrome",,
"cutis gyrata syndrome of Beare-Stevenson
see Beare-Stevenson cutis gyrata syndrome",,
"Genetic hypercalciuria
see Dent's disease",,Xp11.22
"de Grouchy syndrome 1
see De Grouchy syndrome",D,18p
Di George's syndrome,D,22q
distal hereditary motor neuropathy,,
EhlersDanlos syndrome,,
"Erythroblastic anemia
see beta-thalassemia",,
"FA
see fanconi anemia",,
Fabry disease,P,Xq22.1
factor V Leiden thrombophilia,,
familial adenomatous polyposis,,
familial dysautonomia,,
FG syndrome,,
Friedreich's ataxia,,
G6PD deficiency,,
galactosemia,,
Gaucher disease,,
"Glioma, retinal
see retinoblastoma",,
