Rank,Released,Movie,WorldwideBox Office,DomesticBox Office,InternationalBox Office
1,2009,Avatar,"$2,783,918,982","$760,507,625","$2,023,411,357"
2,1997,Titanic,"$2,207,615,668","$658,672,302","$1,548,943,366"
3,2015,Star Wars Ep. VII: The Force Awakens,"$2,058,662,225","$936,662,225","$1,122,000,000"
4,2015,Jurassic World,"$1,671,640,593","$652,198,010","$1,019,442,583"
5,2012,The Avengers,"$1,519,479,547","$623,279,547","$896,200,000"
6,2015,Furious 7,"$1,516,748,684","$351,032,910","$1,165,715,774"
7,2015,Avengers: Age of Ultron,"$1,404,705,868","$459,005,868","$945,700,000"
8,2011,Harry Potter and the Deathly Hallows: Part II,"$1,341,511,219","$381,011,219","$960,500,000"
9,2013,Frozen,"$1,274,234,980","$400,738,009","$873,496,971"
10,2013,Iron Man 3,"$1,215,392,272","$408,992,272","$806,400,000"
11,2015,Minions,"$1,167,245,366","$336,045,770","$831,199,596"
12,2016,Captain America: Civil War,"$1,151,684,349","$408,084,349","$743,600,000"
13,2003,The Lord of the Rings: The Return of the King,"$1,141,403,341","$377,845,905","$763,557,436"
14,2011,Transformers: Dark of the Moon,"$1,123,790,543","$352,390,543","$771,400,000"
15,2012,Skyfall,"$1,110,526,981","$304,360,277","$806,166,704"
16,2014,Transformers: Age of Extinction,"$1,104,039,076","$245,439,076","$858,600,000"
17,2012,The Dark Knight Rises,"$1,084,439,099","$448,139,099","$636,300,000"
18,2010,Toy Story 3,"$1,069,818,229","$415,004,880","$654,813,349"
19,2006,Pirates of the Caribbean: Dead Mans Chest,"$1,066,215,812","$423,315,812","$642,900,000"
20,2016,Rogue One: A Star Wars Story,"$1,052,604,792","$529,604,792","$523,000,000"
21,2011,Pirates of the Caribbean: On Stranger Tides,"$1,045,663,875","$241,063,875","$804,600,000"
22,1993,Jurassic Park,"$1,038,812,584","$395,708,305","$643,104,279"
23,1999,Star Wars Ep. I: The Phantom Menace,"$1,027,044,677","$474,544,677","$552,500,000"
24,2010,Alice in Wonderland,"$1,025,491,110","$334,191,110","$691,300,000"
25,2016,Finding Dory,"$1,022,617,376","$486,295,561","$536,321,815"
26,2016,Zootopia,"$1,019,922,983","$341,268,248","$678,654,735"
27,2012,The Hobbit: An Unexpected Journey,"$1,017,003,568","$303,003,568","$714,000,000"
28,2008,The Dark Knight,"$1,002,891,358","$533,345,358","$469,546,000"
29,1994,The Lion King,"$987,480,140","$422,780,140","$564,700,000"
30,2013,Despicable Me 2,"$975,216,835","$368,065,385","$607,151,450"
31,2001,Harry Potter and the Sorcerers Stone,"$974,755,371","$317,575,550","$657,179,821"
32,2016,The Jungle Book,"$963,901,123","$364,001,123","$599,900,000"
33,2007,Pirates of the Caribbean: At Worlds End,"$963,420,425","$309,420,425","$654,000,000"
34,2013,The Hobbit: The Desolation of Smaug,"$960,366,855","$258,366,855","$702,000,000"
35,2010,Harry Potter and the Deathly Hallows: Part I,"$960,283,305","$295,983,305","$664,300,000"
36,2014,The Hobbit: The Battle of the Five Armies,"$955,119,788","$255,119,788","$700,000,000"
37,2007,Harry Potter and the Order of the Phoenix,"$942,943,935","$292,004,738","$650,939,197"
38,2004,Shrek 2,"$937,008,132","$441,226,247","$495,781,885"
39,2003,Finding Nemo,"$936,429,370","$380,529,370","$555,900,000"
40,2009,Harry Potter and the Half-Blood Prince,"$935,083,686","$301,959,197","$633,124,489"
41,2002,The Lord of the Rings: The Two Towers,"$934,699,645","$342,548,984","$592,150,661"
42,2005,Harry Potter and the Goblet of Fire,"$896,911,078","$290,013,036","$606,898,042"
43,2007,Spider-Man 3,"$890,875,303","$336,530,303","$554,345,000"
44,2001,The Lord of the Rings: The Fellowship of the Ring,"$887,210,985","$315,544,750","$571,666,235"
45,2012,Ice Age: Continental Drift,"$879,765,137","$161,321,843","$718,443,294"
46,2015,Spectre,"$879,620,923","$200,074,175","$679,546,748"
47,2002,Harry Potter and the Chamber of Secrets,"$878,979,634","$261,987,880","$616,991,754"
48,2016,The Secret Life of Pets,"$875,958,308","$368,384,330","$507,573,978"
49,2016,Batman v Superman: Dawn of Justice,"$868,160,194","$330,360,194","$537,800,000"
50,2013,The Hunger Games: Catching Fire,"$864,868,047","$424,668,047","$440,200,000"
51,2009,Ice Age: Dawn of the Dinosaurs,"$859,701,857","$196,573,705","$663,128,152"
52,2015,Inside Out,"$853,707,581","$356,461,711","$497,245,870"
53,2005,Star Wars Ep. III: Revenge of the Sith,"$848,998,877","$380,270,577","$468,728,300"
54,2009,Transformers: Revenge of the Fallen,"$836,519,699","$402,111,870","$434,407,829"
55,2010,Inception,"$832,584,416","$292,576,195","$540,008,221"
56,2012,"The Twilight Saga: Breaking Dawn, Part 2","$829,724,737","$292,324,737","$537,400,000"
57,2002,Spider-Man,"$821,706,375","$403,706,375","$418,000,000"
58,1996,Independence Day,"$817,400,878","$306,169,255","$511,231,623"
