,CAI,dS,dN,dN/dS,dS adjusted,dN/dS adjusted,fitness,fdS,fdN,fdNdS,fdSadj,fdNdSadj
CAI,1.0,-0.572301321261,-0.387714265541,-0.321216924619,0.00392007345764,-0.41847265239,-0.144052236662,-0.681321692789,-0.541741359334,-0.396838408349,0.00613520375141,-0.559475314301
dS,-0.572301321261,1.0,0.474831612482,0.247113094321,0.817793647993,0.347616516555,0.14151175892,0.943893248404,0.565636782281,0.329856935126,0.811855635898,0.467327952497
dN,-0.387714265541,0.474831612482,1.0,0.947006924752,0.306927782529,0.972500768462,0.211831776631,0.417594621778,0.85148932059,0.82977735788,0.294846562496,0.846956795266
dN/dS,-0.321216924619,0.247113094321,0.947006924752,1.0,0.0759073571841,0.987733812571,0.209807552763,0.213819157918,0.825244740066,0.870099338895,0.0623426202685,0.853203248874
dS adjusted,0.00392007345764,0.817793647993,0.306927782529,0.0759073571841,1.0,0.130210408503,0.0714685655634,0.672863759404,0.309561776638,0.123736613681,0.994313584144,0.177234432427
dN/dS adjusted,-0.41847265239,0.347616516555,0.972500768462,0.987733812571,0.130210408503,1.0,0.21602319857,0.322761076019,0.847262279116,0.857787377186,0.118009957928,0.868277207254
fitness,-0.144052236662,0.14151175892,0.211831776631,0.209807552763,0.0714685655634,0.21602319857,1.0,0.147428934284,0.265147773657,0.253979502506,0.0707283933107,0.264021289493
fdS,-0.681321692789,0.943893248404,0.417594621778,0.213819157918,0.672863759404,0.322761076019,0.147428934284,1.0,0.556345162542,0.305512546525,0.679091480559,0.474724265312
fdN,-0.541741359334,0.565636782281,0.85148932059,0.825244740066,0.309561776638,0.847262279116,0.265147773657,0.556345162542,1.0,0.959963338156,0.306535474442,0.99000992264
fdNdS,-0.396838408349,0.329856935126,0.82977735788,0.870099338895,0.123736613681,0.857787377186,0.253979502506,0.305512546525,0.959963338156,1.0,0.118232487335,0.97545568146
fdSadj,0.00613520375141,0.811855635898,0.294846562496,0.0623426202685,0.994313584144,0.118009957928,0.0707283933107,0.679091480559,0.306535474442,0.118232487335,1.0,0.173199881222
fdNdSadj,-0.559475314301,0.467327952497,0.846956795266,0.853203248874,0.177234432427,0.868277207254,0.264021289493,0.474724265312,0.99000992264,0.97545568146,0.173199881222,1.0
