,CAI,dS,dN,dN/dS,dS adjusted,dN/dS adjusted,fitness,fdS,fdN,fdNdS,fdSadj,fdNdSadj
CAI,1.0,-0.334173792817,-0.517291051759,-0.475607418376,0.0858535291638,-0.552972874393,-0.13856945839,-0.334173792817,-0.517291051759,-0.475607418376,0.0858535291638,-0.552972874393
dS,-0.334173792817,1.0,0.501368140744,0.294552966205,0.866111608814,0.38263042092,0.122576335276,1.0,0.501368140744,0.294552966205,0.866111608814,0.38263042092
dN,-0.517291051759,0.501368140744,1.0,0.961699953899,0.281346527439,0.986180192362,0.228192472423,0.501368140744,1.0,0.961699953899,0.281346527439,0.986180192362
dN/dS,-0.475607418376,0.294552966205,0.961699953899,1.0,0.0899698773381,0.983193487207,0.220612069873,0.294552966205,0.961699953899,1.0,0.0899698773381,0.983193487207
dS adjusted,0.0858535291638,0.866111608814,0.281346527439,0.0899698773381,1.0,0.13976298231,0.0731816435323,0.866111608814,0.281346527439,0.0899698773381,1.0,0.13976298231
dN/dS adjusted,-0.552972874393,0.38263042092,0.986180192362,0.983193487207,0.13976298231,1.0,0.230169725625,0.38263042092,0.986180192362,0.983193487207,0.13976298231,1.0
fitness,-0.13856945839,0.122576335276,0.228192472423,0.220612069873,0.0731816435323,0.230169725625,1.0,0.122576335276,0.228192472423,0.220612069873,0.0731816435323,0.230169725625
fdS,-0.334173792817,1.0,0.501368140744,0.294552966205,0.866111608814,0.38263042092,0.122576335276,1.0,0.501368140744,0.294552966205,0.866111608814,0.38263042092
fdN,-0.517291051759,0.501368140744,1.0,0.961699953899,0.281346527439,0.986180192362,0.228192472423,0.501368140744,1.0,0.961699953899,0.281346527439,0.986180192362
fdNdS,-0.475607418376,0.294552966205,0.961699953899,1.0,0.0899698773381,0.983193487207,0.220612069873,0.294552966205,0.961699953899,1.0,0.0899698773381,0.983193487207
fdSadj,0.0858535291638,0.866111608814,0.281346527439,0.0899698773381,1.0,0.13976298231,0.0731816435323,0.866111608814,0.281346527439,0.0899698773381,1.0,0.13976298231
fdNdSadj,-0.552972874393,0.38263042092,0.986180192362,0.983193487207,0.13976298231,1.0,0.230169725625,0.38263042092,0.986180192362,0.983193487207,0.13976298231,1.0
